target,target_week,target_year,location,type,quantile,value
1 wk ahead,6,2022,BW,point,NA,2595
1 wk ahead,6,2022,BW,quantile,0.025,2319
1 wk ahead,6,2022,BW,quantile,0.25,2447
1 wk ahead,6,2022,BW,quantile,0.5,2595
1 wk ahead,6,2022,BW,quantile,0.75,2705
1 wk ahead,6,2022,BW,quantile,0.975,2867
2 wk ahead,7,2022,BW,point,NA,2237
2 wk ahead,7,2022,BW,quantile,0.025,1750
2 wk ahead,7,2022,BW,quantile,0.25,1973
2 wk ahead,7,2022,BW,quantile,0.5,2237
2 wk ahead,7,2022,BW,quantile,0.75,2451
2 wk ahead,7,2022,BW,quantile,0.975,2706
,,,,,,
1 wk ahead,6,2022,BY,point,NA,4411
1 wk ahead,6,2022,BY,quantile,0.025,4021
1 wk ahead,6,2022,BY,quantile,0.25,4268
1 wk ahead,6,2022,BY,quantile,0.5,4411
1 wk ahead,6,2022,BY,quantile,0.75,4631
1 wk ahead,6,2022,BY,quantile,0.975,5006
2 wk ahead,7,2022,BY,point,NA,3350
2 wk ahead,7,2022,BY,quantile,0.025,1934
2 wk ahead,7,2022,BY,quantile,0.25,2886
2 wk ahead,7,2022,BY,quantile,0.5,3350
2 wk ahead,7,2022,BY,quantile,0.75,3844
2 wk ahead,7,2022,BY,quantile,0.975,4869
,,,,,,
1 wk ahead,6,2022,BE,point,NA,1104
1 wk ahead,6,2022,BE,quantile,0.025,771
1 wk ahead,6,2022,BE,quantile,0.25,1004
1 wk ahead,6,2022,BE,quantile,0.5,1104
1 wk ahead,6,2022,BE,quantile,0.75,1225
1 wk ahead,6,2022,BE,quantile,0.975,1501
2 wk ahead,7,2022,BE,point,NA,673
2 wk ahead,7,2022,BE,quantile,0.025,136
2 wk ahead,7,2022,BE,quantile,0.25,442
2 wk ahead,7,2022,BE,quantile,0.5,673
2 wk ahead,7,2022,BE,quantile,0.75,898
2 wk ahead,7,2022,BE,quantile,0.975,1394
,,,,,,
1 wk ahead,6,2022,BB,point,NA,788
1 wk ahead,6,2022,BB,quantile,0.025,707
1 wk ahead,6,2022,BB,quantile,0.25,730
1 wk ahead,6,2022,BB,quantile,0.5,788
1 wk ahead,6,2022,BB,quantile,0.75,846
1 wk ahead,6,2022,BB,quantile,0.975,909
2 wk ahead,7,2022,BB,point,NA,728
2 wk ahead,7,2022,BB,quantile,0.025,334
2 wk ahead,7,2022,BB,quantile,0.25,610
2 wk ahead,7,2022,BB,quantile,0.5,728
2 wk ahead,7,2022,BB,quantile,0.75,850
2 wk ahead,7,2022,BB,quantile,0.975,1137
,,,,,,
1 wk ahead,6,2022,HB,point,NA,40
1 wk ahead,6,2022,HB,quantile,0.025,25
1 wk ahead,6,2022,HB,quantile,0.25,32
1 wk ahead,6,2022,HB,quantile,0.5,40
1 wk ahead,6,2022,HB,quantile,0.75,46
1 wk ahead,6,2022,HB,quantile,0.975,50
2 wk ahead,7,2022,HB,point,NA,39
2 wk ahead,7,2022,HB,quantile,0.025,12
2 wk ahead,7,2022,HB,quantile,0.25,26
2 wk ahead,7,2022,HB,quantile,0.5,39
2 wk ahead,7,2022,HB,quantile,0.75,50
2 wk ahead,7,2022,HB,quantile,0.975,59
,,,,,,
1 wk ahead,6,2022,HH,point,NA,181
1 wk ahead,6,2022,HH,quantile,0.025,142
1 wk ahead,6,2022,HH,quantile,0.25,165
1 wk ahead,6,2022,HH,quantile,0.5,181
1 wk ahead,6,2022,HH,quantile,0.75,193
1 wk ahead,6,2022,HH,quantile,0.975,219
2 wk ahead,7,2022,HH,point,NA,119
2 wk ahead,7,2022,HH,quantile,0.025,56
2 wk ahead,7,2022,HH,quantile,0.25,69
2 wk ahead,7,2022,HH,quantile,0.5,119
2 wk ahead,7,2022,HH,quantile,0.75,182
2 wk ahead,7,2022,HH,quantile,0.975,208
,,,,,,
1 wk ahead,6,2022,HE,point,NA,1006
1 wk ahead,6,2022,HE,quantile,0.025,864
1 wk ahead,6,2022,HE,quantile,0.25,923
1 wk ahead,6,2022,HE,quantile,0.5,1006
1 wk ahead,6,2022,HE,quantile,0.75,1058
1 wk ahead,6,2022,HE,quantile,0.975,1154
2 wk ahead,7,2022,HE,point,NA,935
2 wk ahead,7,2022,HE,quantile,0.025,686
2 wk ahead,7,2022,HE,quantile,0.25,786
2 wk ahead,7,2022,HE,quantile,0.5,935
2 wk ahead,7,2022,HE,quantile,0.75,1045
2 wk ahead,7,2022,HE,quantile,0.975,1154
,,,,,,
1 wk ahead,6,2022,MV,point,NA,-
1 wk ahead,6,2022,MV,quantile,0.025,-
1 wk ahead,6,2022,MV,quantile,0.25,-
1 wk ahead,6,2022,MV,quantile,0.5,-
1 wk ahead,6,2022,MV,quantile,0.75,-
1 wk ahead,6,2022,MV,quantile,0.975,-
2 wk ahead,7,2022,MV,point,NA,-
2 wk ahead,7,2022,MV,quantile,0.025,-
2 wk ahead,7,2022,MV,quantile,0.25,-
2 wk ahead,7,2022,MV,quantile,0.5,-
2 wk ahead,7,2022,MV,quantile,0.75,-
2 wk ahead,7,2022,MV,quantile,0.975,-
,,,,,,
1 wk ahead,6,2022,NI,point,NA,847
1 wk ahead,6,2022,NI,quantile,0.025,761
1 wk ahead,6,2022,NI,quantile,0.25,800
1 wk ahead,6,2022,NI,quantile,0.5,847
1 wk ahead,6,2022,NI,quantile,0.75,902
1 wk ahead,6,2022,NI,quantile,0.975,974
2 wk ahead,7,2022,NI,point,NA,825
2 wk ahead,7,2022,NI,quantile,0.025,669
2 wk ahead,7,2022,NI,quantile,0.25,728
2 wk ahead,7,2022,NI,quantile,0.5,825
2 wk ahead,7,2022,NI,quantile,0.75,903
2 wk ahead,7,2022,NI,quantile,0.975,1033
,,,,,,
1 wk ahead,6,2022,NW,point,NA,5494
1 wk ahead,6,2022,NW,quantile,0.025,5018
1 wk ahead,6,2022,NW,quantile,0.25,5333
1 wk ahead,6,2022,NW,quantile,0.5,5494
1 wk ahead,6,2022,NW,quantile,0.75,5612
1 wk ahead,6,2022,NW,quantile,0.975,6062
2 wk ahead,7,2022,NW,point,NA,4891
2 wk ahead,7,2022,NW,quantile,0.025,3551
2 wk ahead,7,2022,NW,quantile,0.25,4293
2 wk ahead,7,2022,NW,quantile,0.5,4891
2 wk ahead,7,2022,NW,quantile,0.75,5413
2 wk ahead,7,2022,NW,quantile,0.975,6743
,,,,,,
1 wk ahead,6,2022,RP,point,NA,1132
1 wk ahead,6,2022,RP,quantile,0.025,1040
1 wk ahead,6,2022,RP,quantile,0.25,1084
1 wk ahead,6,2022,RP,quantile,0.5,1132
1 wk ahead,6,2022,RP,quantile,0.75,1177
1 wk ahead,6,2022,RP,quantile,0.975,1230
2 wk ahead,7,2022,RP,point,NA,999
2 wk ahead,7,2022,RP,quantile,0.025,763
2 wk ahead,7,2022,RP,quantile,0.25,879
2 wk ahead,7,2022,RP,quantile,0.5,999
2 wk ahead,7,2022,RP,quantile,0.75,1120
2 wk ahead,7,2022,RP,quantile,0.975,1435
,,,,,,
1 wk ahead,6,2022,SL,point,NA,286
1 wk ahead,6,2022,SL,quantile,0.025,246
1 wk ahead,6,2022,SL,quantile,0.25,269
1 wk ahead,6,2022,SL,quantile,0.5,286
1 wk ahead,6,2022,SL,quantile,0.75,303
1 wk ahead,6,2022,SL,quantile,0.975,323
2 wk ahead,7,2022,SL,point,NA,213
2 wk ahead,7,2022,SL,quantile,0.025,154
2 wk ahead,7,2022,SL,quantile,0.25,188
2 wk ahead,7,2022,SL,quantile,0.5,213
2 wk ahead,7,2022,SL,quantile,0.75,238
2 wk ahead,7,2022,SL,quantile,0.975,278
,,,,,,
1 wk ahead,6,2022,SN,point,NA,888
1 wk ahead,6,2022,SN,quantile,0.025,784
1 wk ahead,6,2022,SN,quantile,0.25,828
1 wk ahead,6,2022,SN,quantile,0.5,888
1 wk ahead,6,2022,SN,quantile,0.75,965
1 wk ahead,6,2022,SN,quantile,0.975,1258
2 wk ahead,7,2022,SN,point,NA,-
2 wk ahead,7,2022,SN,quantile,0.025,-
2 wk ahead,7,2022,SN,quantile,0.25,-
2 wk ahead,7,2022,SN,quantile,0.5,-
2 wk ahead,7,2022,SN,quantile,0.75,-
2 wk ahead,7,2022,SN,quantile,0.975,-
,,,,,,
1 wk ahead,6,2022,ST,point,NA,549
1 wk ahead,6,2022,ST,quantile,0.025,470
1 wk ahead,6,2022,ST,quantile,0.25,515
1 wk ahead,6,2022,ST,quantile,0.5,549
1 wk ahead,6,2022,ST,quantile,0.75,594
1 wk ahead,6,2022,ST,quantile,0.975,629
2 wk ahead,7,2022,ST,point,NA,-
2 wk ahead,7,2022,ST,quantile,0.025,-
2 wk ahead,7,2022,ST,quantile,0.25,-
2 wk ahead,7,2022,ST,quantile,0.5,-
2 wk ahead,7,2022,ST,quantile,0.75,-
2 wk ahead,7,2022,ST,quantile,0.975,-
,,,,,,
1 wk ahead,6,2022,SH,point,NA,223
1 wk ahead,6,2022,SH,quantile,0.025,169
1 wk ahead,6,2022,SH,quantile,0.25,195
1 wk ahead,6,2022,SH,quantile,0.5,223
1 wk ahead,6,2022,SH,quantile,0.75,256
1 wk ahead,6,2022,SH,quantile,0.975,275
2 wk ahead,7,2022,SH,point,NA,209
2 wk ahead,7,2022,SH,quantile,0.025,96
2 wk ahead,7,2022,SH,quantile,0.25,141
2 wk ahead,7,2022,SH,quantile,0.5,209
2 wk ahead,7,2022,SH,quantile,0.75,283
2 wk ahead,7,2022,SH,quantile,0.975,347
,,,,,,
1 wk ahead,6,2022,TH,point,NA,335
1 wk ahead,6,2022,TH,quantile,0.025,280
1 wk ahead,6,2022,TH,quantile,0.25,310
1 wk ahead,6,2022,TH,quantile,0.5,335
1 wk ahead,6,2022,TH,quantile,0.75,367
1 wk ahead,6,2022,TH,quantile,0.975,407
2 wk ahead,7,2022,TH,point,NA,-
2 wk ahead,7,2022,TH,quantile,0.025,-
2 wk ahead,7,2022,TH,quantile,0.25,-
2 wk ahead,7,2022,TH,quantile,0.5,-
2 wk ahead,7,2022,TH,quantile,0.75,-
2 wk ahead,7,2022,TH,quantile,0.975,-